,LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
631,Rua 21  (Cj Beira Rio),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-260
632,Rua 21  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-680
633,Rua 21,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60823-500
634,Rua 210,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-340
635,Rua 210  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-240
636,Rua 212  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-250
637,Rua 212,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-350
638,Rua 214,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-360
639,Rua 214  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-260
640,Rua 216  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-270
641,Rua 216,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-370
642,Rua 218,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-380
643,Rua 218A,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-390
644,Rua 218B,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-400
645,Rua 218C,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-410
646,Rua 22  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-360
647,Rua 22  (Cj Beira Rio),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-200
648,Rua 22  (Cj dos Bancários),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-410
649,Rua 22  (Cj Planalto da Barra),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-630
650,Rua 22  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-685
651,Rua 22,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60823-510
652,Rua 22  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-451
653,Rua 220,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-420
654,Rua 222,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-430
655,Rua 224,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-440
656,Rua 226,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-450
657,Rua 228,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-460
658,Rua 23  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-452
