,LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
0,Rua 01 A do Cidade Jardim Fortaleza Gleba A,Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-540
1,Rua 01  (Lot Lagoa da Libânia),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60767-702
2,Rua 01  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-760
3,Rua 02 A do Cidade Jardim Fortaleza Gleba A,Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-570
4,Rua 02  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-763
5,Rua 02 do Loteamento Dom Vicente,Parque Presidente Vargas,"Fortaleza, CE","Parque Presidente Vargas, Fortaleza, CE",60765-537
6,Rua 03  (Loteamento Santa Sofia),Edson Queiroz,"Fortaleza, CE","Edson Queiroz, Fortaleza, CE",60834-275
7,Rua 03  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-766
8,Rua 03 do Loteamento Boa Ventura,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60764-449
9,Rua 03H  (Residencial Monte Prince I e II),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-050
10,Rua 04  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-769
11,Rua 05  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-772
12,Rua 05 do Loteamento Planalto Aracapé,Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60764-672
13,Rua 05H do Loteamento Cidade Jardim,Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-025
14,Rua 06  (Lot Urucutuba),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-774
15,Rua 06 do Loteamento Boa Ventura,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60764-448
16,Rua 07  (Lot Cristal Ville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-668
17,Rua 07H  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-030
18,Rua 08  (Lot Cristal Ville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-669
19,Rua 08 do Loteamento Terra Nova,Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-039
20,Rua 08H  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-020
21,Rua 09  (Lot Cristal Ville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-660
22,Rua 09H  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60749-040
23,Avenida 1  (Lot Planalto Canindezinho),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-402
24,Avenida 1  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-640
25,Avenida 1  (Cj Sítio do Córrego),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-010
26,Largo 1  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-670
27,Rua 1  (Cj Arvoredo),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-435
28,Rua 1  (Cj Jardim das Flores),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-210
29,Rua 1  (Lot Prq Santana I),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60767-725
30,Rua 1  (Lot Granja Palestina),Parque Presidente Vargas,"Fortaleza, CE","Parque Presidente Vargas, Fortaleza, CE",60765-652
31,Rua 1  (Cj Parque Monsenhor Tabosa),Antônio Bezerra,"Fortaleza, CE","Antônio Bezerra, Fortaleza, CE",60360-052
32,Rua 1  (Lot Alto Boa Vista),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-550
33,Rua 1  (Lot Parque Verde),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60876-785
34,Rua 1  (Cj Apolo XI),Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-672
35,Rua 1  (Lot Prq Santa Terezinha),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60870-842
36,Rua 1  (Lot Boa Ventura),Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60765-355
37,Rua 1  (Lot Santo Emílio),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-492
38,Rua 1  (Cj Coração de Jesus),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-160
39,Rua 1  (Cj Res Morada da Lagoa),Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60840-170
40,Rua 1  (Cj Tupinambá da Frota),Antônio Bezerra,"Fortaleza, CE","Antônio Bezerra, Fortaleza, CE",60361-260
41,Rua 1  (Cj Alto Alegre),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-390
42,Rua 1  (Cj Antônio Correia),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-425
43,Rua 1  (Cj Res Pan Americano),Bela Vista,"Fortaleza, CE","Bela Vista, Fortaleza, CE",60442-115
44,Rua 1  (Lot São Mateus I),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60768-020
45,Rua 1  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-150
46,Rua 1  (Cj Sítio Aratanha),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60333-360
47,Rua 1  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-590
48,Rua 1  (Lot Cidade Sul),Parque Iracema,"Fortaleza, CE","Parque Iracema, Fortaleza, CE",60824-000
49,Rua 1  (Lot Sumaré II),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60744-350
50,Rua 1  (Cj Res Doutor Abelardo Rocha),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-600
51,Rua 1  (Cj Polar),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-660
52,Rua 1  (Mutirão Esperança),Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-505
53,Rua 1  (Lot Arvoredo R Center),Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-210
54,Rua 1  (Cj Cristo Redentor),Cristo Redentor,"Fortaleza, CE","Cristo Redentor, Fortaleza, CE",60337-660
55,Rua 1  (Cj Caça e Pesca),Praia do Futuro II,"Fortaleza, CE","Praia do Futuro II, Fortaleza, CE",60183-650
56,Rua 1  (Cj Campo dos Inglêses),Jardim Cearense,"Fortaleza, CE","Jardim Cearense, Fortaleza, CE",60712-247
57,Rua 1  (Cj Campo Ouro Verde),Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60545-011
58,Rua 1  (Lot Cidade Leste),Sapiranga-Coité,"Fortaleza, CE","Sapiranga-Coité, Fortaleza, CE",60833-486
59,Rua 1  (Cj Res Coração de Jesus),Aerolândia,"Fortaleza, CE","Aerolândia, Fortaleza, CE",60850-575
60,Rua 1  (Cj Estrada Urucutuba),Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60546-220
61,Rua 1  (Cj Hermes Pereira/Barra Mar),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-065
62,Rua 1  (Cj Jardim Castelão),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-120
63,Rua 1  (Cj Jardim Glória),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60862-735
64,Rua 1  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-765
65,Rua 1  (Cj Mirassol),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60743-210
66,Rua 1  (Res Napoleão Viana),Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-470
67,Rua 1  (Lot Nova Fortaleza),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60868-745
68,Rua 1  (Pantanal Vila União),Aeroporto,"Fortaleza, CE","Aeroporto, Fortaleza, CE",60422-752
69,Rua 1  (Lot Paraíso),Planalto Ayrton Senna,"Fortaleza, CE","Planalto Ayrton Senna, Fortaleza, CE",60766-550
70,Rua 1  (Cj Parque Boatã),Quintino Cunha,"Fortaleza, CE","Quintino Cunha, Fortaleza, CE",60352-100
71,Rua 1  (Lot Prq Itaigara),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60732-411
72,Rua 1  (Lot Prq Vila Verde),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60821-210
73,Rua 1  (Cj Pequeno Canindezinho),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60733-430
74,Rua 1  (Cj Pequeno Mondubim),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60762-675
75,Rua 1  (Cj Planalto Itaperi),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60761-250
76,Rua 1  (Lot Água Marinha),Sabiaguaba,"Fortaleza, CE","Sabiaguaba, Fortaleza, CE",60835-260
77,Rua 1  (Cj Res Boa Vista),Autran Nunes,"Fortaleza, CE","Autran Nunes, Fortaleza, CE",60527-440
78,Rua 1  (Cj Res Curió),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-481
79,Rua 1  (Res Nova Assunção),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-065
80,Rua 1  (Cj Res Eldorado),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60744-170
81,Rua 1  (Cj Res Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60744-280
82,Rua 1  (Lot Santa Terezinha),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60763-771
83,Rua 1  (Cj Siqueira),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-120
84,Rua 1  (Cj Sítio do Córrego),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-020
85,Rua 1  (Cj Veneza Tropical),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60743-010
86,Rua 1  (Lot Greenville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-661
87,Rua 1  (Cj Padre Santana),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-781
88,Rua 1  (Lot Res Vila Verde),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-481
89,Rua 1  (Lot Gleba),Manuel Dias Branco,"Fortaleza, CE","Manuel Dias Branco, Fortaleza, CE",60191-330
90,Rua 1  (Cj Jardim Oeste),Quintino Cunha,"Fortaleza, CE","Quintino Cunha, Fortaleza, CE",60352-040
91,Rua 1  (Cj Riacho Doce),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60745-010
92,Rua de Pedestre 1  (Lot Res Sonho Meu),Parangaba,"Fortaleza, CE","Parangaba, Fortaleza, CE",60720-652
93,Travessa 1  (Cj Jardim Castelão),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-262
94,Travessa 1  (Cj Caça e Pesca),Praia do Futuro II,"Fortaleza, CE","Praia do Futuro II, Fortaleza, CE",60183-654
95,Travessa 1  (Cj Barroso II),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60867-473
96,Via de Pedestre 1  (Cj Rosalina),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60745-705
97,Rua 1 do Loteamento Santiago de Compostela,Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60743-675
98,Rua 10 A  (Lot Sítio Jacarey),Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60822-106
99,Rua 10 B  (Lot Sítio Jacarey),Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60822-108
100,Largo 10  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-800
101,Rua 10  (Lot Res Vila Verde),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-490
102,Rua 10  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-439
103,Rua 10  (Cj Padre Santana),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-791
104,Rua 10  (Cj Campo dos Ingleses),Jardim Cearense,"Fortaleza, CE","Jardim Cearense, Fortaleza, CE",60712-290
105,Rua 10  (Cj Riacho Doce),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60745-100
106,Rua 10  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-240
107,Rua 10  (Lot Greenville),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-672
108,Rua 10  (Cj Est Urucutuba),Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60546-310
109,Rua 10  (Cj Alto Alegre),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-305
110,Rua 10  (Cj Jardim Castelão),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-210
111,Rua 10  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-630
112,Rua 10  (Cj Mirassol),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60743-300
113,Rua 10  (Cj Nova Assunção),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-720
114,Rua 10  (Cj Pequeno Mondubim),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60762-590
115,Rua 10  (Cj Planalto Itaperi),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60761-340
116,Rua 10  (Cj Sítio do Córrego),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-110
117,Rua 10  (Cj Veneza Tropical),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60743-185
118,Rua 10  (Lot Paraíso),Planalto Ayrton Senna,"Fortaleza, CE","Planalto Ayrton Senna, Fortaleza, CE",60766-650
119,Rua 10  (Cj Arvoredo),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-400
120,Rua 10  (Cj Caça e Pesca),Praia do Futuro II,"Fortaleza, CE","Praia do Futuro II, Fortaleza, CE",60183-652
121,Rua 10  (Lot Gleba),Manuel Dias Branco,"Fortaleza, CE","Manuel Dias Branco, Fortaleza, CE",60191-420
122,Rua 10  (Lot Nova Fortaleza),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60868-836
123,Rua 10  (Lot Prq Santana I),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60767-700
124,Rua 10  (Loteamento Parque Zelândia),Boa Vista-Castelão,"Fortaleza, CE","Boa Vista-Castelão, Fortaleza, CE",60861-133
125,Rua 10  (Lot Santiago de Composta),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60743-765
126,Rua 10  (Lot Parque Verde),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60876-775
127,Rua 10  (Lot Planalto Aracapé),Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60764-697
128,Rua 10  (Lot Alto Boa Vista),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-480
129,Rua 10  (Cj Res Doutor Abelardo Rocha),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-690
130,Rua 10  (Lot Fortaleza Sul),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60862-608
131,Travessa 10  (Cj Barroso II),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60867-498
132,Travessa 10,Parque Presidente Vargas,"Fortaleza, CE","Parque Presidente Vargas, Fortaleza, CE",60765-787
133,Via de Pedestre 10  (Cj Rosalina),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60745-792
134,Rua 100  (Cj Jardim Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60861-322
135,Avenida 1000,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-605
136,Rua 1002,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-610
137,Rua 1004,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-620
138,Rua 1006,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-630
139,Rua 1008,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-640
140,Rua 101  (Lot Mota Machado),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60763-743
141,Rua 101,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-500
142,Rua 101  (Cj Ceará),Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-000
143,Rua 101  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60751-140
144,Rua 101  (Cj Res Henrique Jorge),Dom Lustosa,"Fortaleza, CE","Dom Lustosa, Fortaleza, CE",60510-734
145,Rua 101  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-140
146,Rua 101  (Cj Jardim Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60861-324
147,Rua 101  (Cj Novo Mondubim),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-240
148,Rua 101  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-390
149,Rua 1010,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-650
150,Rua 1012,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-660
151,Rua 1014,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-670
152,Rua 1016,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-680
153,Rua 1018,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-690
154,Rua 102,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-510
155,Rua 102  (Cj Novo Mondubim),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-250
156,Rua 102  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-400
157,Rua 102  (Cj Jardim Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60861-326
158,Rua 1020,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-700
159,Rua 1022,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-710
160,Rua 1024,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-720
161,Rua 1026,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-730
162,Rua 1028,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-740
163,Rua 103,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-520
164,Rua 103  (Cj Ceará),Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-010
165,Rua 103  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60751-150
166,Rua 103  (Cj Jardim Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60861-328
167,Rua 103  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-410
168,Rua 103 do Conjunto Novo Mondubim,Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-260
169,Rua 1030,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-750
170,Rua 1032,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-760
171,Rua 1034,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-770
172,Rua 1036,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-780
173,Rua 1038,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-790
174,Rua 104,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-530
175,Rua 104  (Cj Jardim Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60861-318
176,Rua 104  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-420
177,Rua 104 do Conjunto Novo Mondubim,Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-275
178,Rua 104 do Novo Residencial Mondubim,Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-270
179,Rua 1040,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-800
180,Rua 1042,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-810
181,Rua 1044,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-820
182,Rua 1046,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-830
183,Rua 1048,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60532-840
184,Rua 105  (Cj Ceará),Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-020
185,Rua 105  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-160
186,Rua 105  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-430
187,Rua 105,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-540
188,Rua 105  (Lot Terreno Cerâmica Santa Rosa),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60763-746
189,Rua 105 do Conjunto Novo Mondubim,Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-280
190,Rua 1050,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-000
191,Rua 1052,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-010
192,Rua 1054,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-020
193,Rua 1056,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-030
194,Rua 1058,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-040
195,Rua 106,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-550
196,Rua 106  (Cj Novo Mondubim),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-290
197,Rua 106  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-440
198,Rua 106  (Lot Mota Machado),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60763-748
199,Rua 1060,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-050
200,Rua 1062,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-060
201,Rua 1064,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-070
202,Rua 1066,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-080
203,Rua 1068,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-090
204,Rua 107,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-560
205,Rua 107  (Cj Ceará),Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-030
206,Rua 107  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-170
207,Rua 107  (Cj Novo Mondubim),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-300
208,Rua 107  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-450
209,Rua 1070,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-100
210,Rua 1072,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-110
211,Rua 1074,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-120
212,Rua 1076,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-130
213,Rua 1078,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-140
214,Rua 108  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-460
215,Rua 108,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-570
216,Rua 1080,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-150
217,Rua 1082,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-160
218,Rua 1084,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-170
219,Rua 1086,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-180
220,Rua 1088,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60533-190
221,Rua 109  (Cj Ceará),Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-040
222,Rua 109  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-180
223,Rua 109  (Cj Tupã Mirim),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60744-470
