Endereços;CEP
Rua Geraldo Lino Braga de Cavalho;60330852
Rua Graça Alcançada;60333060
Rua Graça Aranha até 719/720;60334170
Rua Grêmio;60331571
Rua Grito de Alerta;60332070
Rua H (Cj José Marinho Vasconcelos);60330356
Rua Helenice Paiva Menezes;60330845
Rua Imperatriz;60333070
Rua Irapuã;60331300
Rua Irmã Ana Maria;60332240
Rua Ítalo;60331112
Rua Jacauna;60332530
Rua Jaci;60330470
Rua Jackson do Pandeiro;60332510
Rua Jacó do Bandolim;60332500
Rua Jandira;60330460
Rua Jangada;60331290
Rua Jerônimo Albuquerque;60331750
Rua Joaima;60331230
Rua Joaquim Machado da Ponte;60330165
Rua José Arimatéia Pinto;60334200
Rua José Luís Neto;60334005
Rua José Rodrigues;60333155
Rua José Vilar;60331530
Rua Juracy Magalhães;60334090
Rua Lago Azul;60332080
Rua Lagoa do Abaeté;60332590
Rua Lara;60330527
Rua Larga;60333090
Rua Leidiana Rocha Lima;60330862
Rua Leuba;60331540
Rua Lídia Petri Gonçalves;60332760
Rua Manuel Carneiro;60330522
Rua Manuel Dário;60331430
Rua Manuel Gadelha;60332770
Rua Manuel Moura;60330780
Rua Marcos;60331050
Rua Marechal Napion;60332690
Rua Maria da Conceição Ponciano;60331400
Rua Maria Júlia;60333660
Rua Marília de Dirceu;60331390
Rua Mário Campos;60341820
Rua Marisol;60333110
Rua Marta Cambraia;60334020
Rua Moacir;60332650
Rua Morro Branco;60332620
Rua Mota Cambraia;60334040
Rua Niterói;60331560
Rua Nossa Senhora da Paz;60333120
Rua Nova;60332160
Rua Novo Lar;60333330
Rua Oeste;60331740
Rua Orquídea;60332413
Rua Otacílio Carneiro;60330521
Rua Padre Bernardo;60332140
Rua Padre Cícero;60333130
Rua Padre Haroldo Coelho;60332040
Rua Padre Henrique;60333240
Rua Pajé;60331320
Rua Pantanal;60331580
Rua Paquetá;60333071
Rua Paraíso do Norte;60330185
Rua Parque Vila Velha I (Cj Hermes Pereira/Barra Mar);60330035
Rua Parque Vila Velha II (Cj Hermes Pereira/Barra Mar);60330045
Rua Paulo Aragão;60331590
Rua Paz e Prosperidade;60332270
Rua Pedro Rodrigues;60333640
Rua Pereira Júnior;60332411
Rua Peri;60331270
Rua Pescador Francisco Simão;60332330
Rua Pioneira;60333150
Rua Por do Sol;60332470
Rua Poti;60331340
Rua Presidente Silva;60333156
Rua Primeiro de Abril;60333570
Rua Primeiro de Junho;60333730
Rua Primeiro de Maio;60332130
Rua Professor Ari de Sá Cavalcante;60331350
Rua Profeta Isaías;60333765
Rua Quatorze de Janeiro;60333560
Rua Quatorze de Maio;60334150
Rua Raimunda Barbosa;60333710
Rua Raniele;60331114
Rua República do Peru;60331410
Rua Reriutaba;60330591
Rua Ribeirão Novo;60331780
Rua Roberto Cabral;60333170
Rua Rosa da Fonseca;60332061
Rua Rouxinol;60331180
Rua Saldaria;60332710
Rua Santa Fé;60332280
Rua Santa Helena;60333180
Rua Santa Isabel;60333190
Rua Santa Rita das Goiabeiras;60332700
Rua Santiago da Barra do Ceará;60331440
Rua Santo Antônio das Goiabeiras;60333160
Rua São Bernardo de 1016/1017 ao fim;60330332
Rua São Caetano;60333700
Rua São Jorge;60332025
Rua São José;60333745
Rua São José das Goiabeiras;60331630
Rua São Mateus;60333210
Rua São Pedro;60332785
Rua São Pedro do Campo;60331131
Rua Seis Companheiros;60331790
Rua Sempre Viva;60330510
Rua Senador Robert Kennedy;60332170
Rua Senador Virgílio Távora;60331640
Rua Sérgio Mota;60331791
Rua Silva Rocha;60331650
Rua Silvaneide;60332290
Rua Sirius;60330380
Rua Tambaú;60334128
Rua Taperoaba;60332780
Rua Terezinha Martins Gonçalves;60334220
Rua Tocandira;60330155
Rua Treze Rockdale;60330370
Rua Trinta de Março;60334120
Rua Trinta e Um de Dezembro;60332120
Rua Tropical;60332765
Rua Tulipa;60330520
Rua Tupã;60331280
Rua Ulisses Magalhães;60334030
Rua Valter Alexandre Martins Gonçalves;60334210
Rua Valter Cavalcante;60334060
Rua Vento Leste;60332380
Rua Vianópolis;60332800
Rua Vigilante Pequiar;60332485
Rua Vila Velha;60331250
Rua Vinte e Cinco de Janeiro;60333530
Rua Vinte e Quatro de Junho;60334140
Rua Vinte e Um de Dezembro;60333580
Rua Vitor Sousa;60331106
Rua Wicar Bastos Cavalcante;60334225
Rua Zambaia;60332570
Rua Zenaide Magalhães;60334010
Travessa Alegria;60333095
Travessa Alencar;60333430
Travessa Álvaro Garrido;60330340
Travessa Andara;60333010
Travessa Aragão;60331295
Travessa Araquém;60330580
Travessa Aratanha;60331015
Travessa Areia Branca;60332773
Travessa Astrogildo Fontoura;60330335
Travessa Atibaia;60312170
Travessa Beco da Paz;60333743
Travessa Beija-Flor;60331160
Travessa Bruno;60312190
Travessa Campo do Meio;60331170
Travessa Canário;60331140
Travessa Carlos Chagas;60332776
Travessa Carol;60332702
Travessa Castelo;60332740
Travessa Castro Alves;60334045
Travessa Caubi;60331102
Travessa Ceci;60331265
Travessa da Esperança;60332020
Travessa da Felicidade;60333750
Travessa da Paz;60332150
Travessa da Sede;60333200
Travessa Daniel Bruno;60332035
Travessa das Flores;60332032
